Network,Model,FeatureSet,WMUCount,SelectedWMUBuses,TrainCases,TestCases,FeatureColumnsPerWMU,FaultBus,SampleCount,ExactBusAccuracy,GraphDistanceMAE,MajorConfusionBus,MajorConfusionCount
ieee14,RandomForest,Baseline+NormVI+Rank,14,1;2;3;4;5;6;7;8;9;10;11;12;13;14,360,180,46,11,36,1.0,0.0,-1,0
ieee14,RandomForest,Baseline+NormVI+Rank,14,1;2;3;4;5;6;7;8;9;10;11;12;13;14,360,180,46,14,36,0.8055555555555556,0.5833333333333334,2,4
ieee14,ExtraTrees,Baseline+NormVI+Rank+VI,14,1;2;3;4;5;6;7;8;9;10;11;12;13;14,360,180,48,2,36,1.0,0.0,-1,0
ieee14,ExtraTrees,Baseline+NormVI+Rank+VI,14,1;2;3;4;5;6;7;8;9;10;11;12;13;14,360,180,48,6,36,1.0,0.0,-1,0
ieee14,ExtraTrees,Baseline+NormVI+Rank+VI,14,1;2;3;4;5;6;7;8;9;10;11;12;13;14,360,180,48,9,36,1.0,0.0,-1,0
ieee14,ExtraTrees,Baseline+NormVI+Rank+VI,14,1;2;3;4;5;6;7;8;9;10;11;12;13;14,360,180,48,11,36,1.0,0.0,-1,0
ieee14,ExtraTrees,Baseline+NormVI+Rank+VI,14,1;2;3;4;5;6;7;8;9;10;11;12;13;14,360,180,48,14,36,1.0,0.0,-1,0
ieee14,RandomForest,Baseline+NormVI+Rank+VI,14,1;2;3;4;5;6;7;8;9;10;11;12;13;14,360,180,48,2,36,1.0,0.0,-1,0
ieee14,RandomForest,Baseline+NormVI+Rank+VI,14,1;2;3;4;5;6;7;8;9;10;11;12;13;14,360,180,48,6,36,1.0,0.0,-1,0
ieee14,RandomForest,Baseline+NormVI+Rank+VI,14,1;2;3;4;5;6;7;8;9;10;11;12;13;14,360,180,48,9,36,1.0,0.0,-1,0
ieee14,RandomForest,Baseline+NormVI+Rank+VI,14,1;2;3;4;5;6;7;8;9;10;11;12;13;14,360,180,48,11,36,1.0,0.0,-1,0
ieee14,RandomForest,Baseline+NormVI+Rank+VI,14,1;2;3;4;5;6;7;8;9;10;11;12;13;14,360,180,48,14,36,1.0,0.0,-1,0
ieee14,ExtraTrees,SpatialOnly,14,1;2;3;4;5;6;7;8;9;10;11;12;13;14,360,180,8,2,36,1.0,0.0,-1,0
ieee14,ExtraTrees,SpatialOnly,14,1;2;3;4;5;6;7;8;9;10;11;12;13;14,360,180,8,6,36,0.9722222222222222,0.05555555555555555,14,1
ieee14,ExtraTrees,SpatialOnly,14,1;2;3;4;5;6;7;8;9;10;11;12;13;14,360,180,8,9,36,1.0,0.0,-1,0
ieee14,ExtraTrees,SpatialOnly,14,1;2;3;4;5;6;7;8;9;10;11;12;13;14,360,180,8,11,36,1.0,0.0,-1,0
