Network,Model,FeatureSet,WMUCount,SelectedWMUBuses,TrainCases,TestCases,FeatureColumnsPerWMU,CoarseCategory,SampleCount,Accuracy
ieee30,ExtraTrees,Baseline+NormVI+Rank,3,6;1;2,360,180,46,Ground,90,0.2
ieee30,ExtraTrees,Baseline+NormVI+Rank,3,6;1;2,360,180,46,Phase,45,0.4888888888888889
ieee30,ExtraTrees,Baseline+NormVI+Rank,3,6;1;2,360,180,46,ThreePhase,45,1.0
ieee30,RandomForest,Baseline+NormVI+Rank,3,6;1;2,360,180,46,Ground,90,0.011111111111111112
ieee30,RandomForest,Baseline+NormVI+Rank,3,6;1;2,360,180,46,Phase,45,0.4
ieee30,RandomForest,Baseline+NormVI+Rank,3,6;1;2,360,180,46,ThreePhase,45,1.0
ieee30,ExtraTrees,Baseline+NormVI+Rank+VI,3,6;1;2,360,180,48,Ground,90,0.24444444444444444
ieee30,ExtraTrees,Baseline+NormVI+Rank+VI,3,6;1;2,360,180,48,Phase,45,0.6444444444444445
ieee30,ExtraTrees,Baseline+NormVI+Rank+VI,3,6;1;2,360,180,48,ThreePhase,45,1.0
ieee30,RandomForest,Baseline+NormVI+Rank+VI,3,6;1;2,360,180,48,Ground,90,0.0
ieee30,RandomForest,Baseline+NormVI+Rank+VI,3,6;1;2,360,180,48,Phase,45,0.2222222222222222
ieee30,RandomForest,Baseline+NormVI+Rank+VI,3,6;1;2,360,180,48,ThreePhase,45,1.0
ieee30,ExtraTrees,SpatialOnly,3,6;1;2,360,180,8,Ground,90,0.5666666666666667
ieee30,ExtraTrees,SpatialOnly,3,6;1;2,360,180,8,Phase,45,0.28888888888888886
ieee30,ExtraTrees,SpatialOnly,3,6;1;2,360,180,8,ThreePhase,45,0.37777777777777777
ieee30,RandomForest,SpatialOnly,3,6;1;2,360,180,8,Ground,90,0.23333333333333334
ieee30,RandomForest,SpatialOnly,3,6;1;2,360,180,8,Phase,45,0.28888888888888886
ieee30,RandomForest,SpatialOnly,3,6;1;2,360,180,8,ThreePhase,45,0.9111111111111111
ieee30,ExtraTrees,Baseline,5,6;1;2;3;4,360,180,40,Ground,90,0.022222222222222223
ieee30,ExtraTrees,Baseline,5,6;1;2;3;4,360,180,40,Phase,45,0.37777777777777777
ieee30,ExtraTrees,Baseline,5,6;1;2;3;4,360,180,40,ThreePhase,45,1.0
ieee30,RandomForest,Baseline,5,6;1;2;3;4,360,180,40,Ground,90,0.26666666666666666
ieee30,RandomForest,Baseline,5,6;1;2;3;4,360,180,40,Phase,45,1.0
ieee30,RandomForest,Baseline,5,6;1;2;3;4,360,180,40,ThreePhase,45,1.0
ieee30,ExtraTrees,Baseline+NormVI,5,6;1;2;3;4,360,180,44,Ground,90,0.23333333333333334
ieee30,ExtraTrees,Baseline+NormVI,5,6;1;2;3;4,360,180,44,Phase,45,0.5333333333333333
ieee30,ExtraTrees,Baseline+NormVI,5,6;1;2;3;4,360,180,44,ThreePhase,45,1.0
ieee30,RandomForest,Baseline+NormVI,5,6;1;2;3;4,360,180,44,Ground,90,0.0
ieee30,RandomForest,Baseline+NormVI,5,6;1;2;3;4,360,180,44,Phase,45,0.2
ieee30,RandomForest,Baseline+NormVI,5,6;1;2;3;4,360,180,44,ThreePhase,45,1.0
ieee30,ExtraTrees,Baseline+NormVI+Rank,5,6;1;2;3;4,360,180,46,Ground,90,0.022222222222222223
ieee30,ExtraTrees,Baseline+NormVI+Rank,5,6;1;2;3;4,360,180,46,Phase,45,0.28888888888888886
ieee30,ExtraTrees,Baseline+NormVI+Rank,5,6;1;2;3;4,360,180,46,ThreePhase,45,1.0
ieee30,RandomForest,Baseline+NormVI+Rank,5,6;1;2;3;4,360,180,46,Ground,90,0.0
ieee30,RandomForest,Baseline+NormVI+Rank,5,6;1;2;3;4,360,180,46,Phase,45,0.2
ieee30,RandomForest,Baseline+NormVI+Rank,5,6;1;2;3;4,360,180,46,ThreePhase,45,1.0
ieee30,ExtraTrees,Baseline+NormVI+Rank+VI,5,6;1;2;3;4,360,180,48,Ground,90,0.45555555555555555
ieee30,ExtraTrees,Baseline+NormVI+Rank+VI,5,6;1;2;3;4,360,180,48,Phase,45,0.9777777777777777
ieee30,ExtraTrees,Baseline+NormVI+Rank+VI,5,6;1;2;3;4,360,180,48,ThreePhase,45,0.9777777777777777
ieee30,RandomForest,Baseline+NormVI+Rank+VI,5,6;1;2;3;4,360,180,48,Ground,90,0.0
ieee30,RandomForest,Baseline+NormVI+Rank+VI,5,6;1;2;3;4,360,180,48,Phase,45,0.35555555555555557
ieee30,RandomForest,Baseline+NormVI+Rank+VI,5,6;1;2;3;4,360,180,48,ThreePhase,45,1.0
ieee30,ExtraTrees,SpatialOnly,5,6;1;2;3;4,360,180,8,Ground,90,0.6777777777777778
ieee30,ExtraTrees,SpatialOnly,5,6;1;2;3;4,360,180,8,Phase,45,0.6444444444444445
ieee30,ExtraTrees,SpatialOnly,5,6;1;2;3;4,360,180,8,ThreePhase,45,0.1111111111111111
ieee30,RandomForest,SpatialOnly,5,6;1;2;3;4,360,180,8,Ground,90,0.7666666666666667
ieee30,RandomForest,SpatialOnly,5,6;1;2;3;4,360,180,8,Phase,45,0.35555555555555557
ieee30,RandomForest,SpatialOnly,5,6;1;2;3;4,360,180,8,ThreePhase,45,0.3333333333333333
ieee30,ExtraTrees,Baseline,30,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30,360,180,40,Ground,90,0.14444444444444443
ieee30,ExtraTrees,Baseline,30,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30,360,180,40,Phase,45,0.2222222222222222
