CaseName,EventType,EventSubtype,TargetBus,LoadSwitchPct,FaultType,RawCsvRelativePath,FileExists,FileSizeBytes,NumRows,NumColumns
E1_LoadSwitch5pct_Bus19,SSO_LoadSwitch,LoadSwitch5pct,19,5,,raw_waveforms/E1_LoadSwitch5pct_Bus19.csv,True,34106196,10001,181
E1_LoadSwitch5pct_Bus20,SSO_LoadSwitch,LoadSwitch5pct,20,5,,raw_waveforms/E1_LoadSwitch5pct_Bus20.csv,True,34104634,10001,181
E1_LoadSwitch5pct_Bus21,SSO_LoadSwitch,LoadSwitch5pct,21,5,,raw_waveforms/E1_LoadSwitch5pct_Bus21.csv,True,34105300,10001,181
E1_LoadSwitch5pct_Bus23,SSO_LoadSwitch,LoadSwitch5pct,23,5,,raw_waveforms/E1_LoadSwitch5pct_Bus23.csv,True,34105736,10001,181
E1_LoadSwitch5pct_Bus24,SSO_LoadSwitch,LoadSwitch5pct,24,5,,raw_waveforms/E1_LoadSwitch5pct_Bus24.csv,True,34105935,10001,181
E1_LoadSwitch5pct_Bus26,SSO_LoadSwitch,LoadSwitch5pct,26,5,,raw_waveforms/E1_LoadSwitch5pct_Bus26.csv,True,34105144,10001,181
E1_LoadSwitch5pct_Bus29,SSO_LoadSwitch,LoadSwitch5pct,29,5,,raw_waveforms/E1_LoadSwitch5pct_Bus29.csv,True,34104948,10001,181
E1_LoadSwitch5pct_Bus30,SSO_LoadSwitch,LoadSwitch5pct,30,5,,raw_waveforms/E1_LoadSwitch5pct_Bus30.csv,True,34104739,10001,181
E2_LoadSwitch30pct_Bus02,SSO_LoadSwitch,LoadSwitch30pct,2,30,,raw_waveforms/E2_LoadSwitch30pct_Bus02.csv,True,34107877,10001,181
E2_LoadSwitch30pct_Bus03,SSO_LoadSwitch,LoadSwitch30pct,3,30,,raw_waveforms/E2_LoadSwitch30pct_Bus03.csv,True,34104017,10001,181
E2_LoadSwitch30pct_Bus04,SSO_LoadSwitch,LoadSwitch30pct,4,30,,raw_waveforms/E2_LoadSwitch30pct_Bus04.csv,True,34105706,10001,181
E2_LoadSwitch30pct_Bus05,SSO_LoadSwitch,LoadSwitch30pct,5,30,,raw_waveforms/E2_LoadSwitch30pct_Bus05.csv,True,34081155,10001,181
E2_LoadSwitch30pct_Bus07,SSO_LoadSwitch,LoadSwitch30pct,7,30,,raw_waveforms/E2_LoadSwitch30pct_Bus07.csv,True,34102423,10001,181
E2_LoadSwitch30pct_Bus08,SSO_LoadSwitch,LoadSwitch30pct,8,30,,raw_waveforms/E2_LoadSwitch30pct_Bus08.csv,True,34110028,10001,181
E2_LoadSwitch30pct_Bus10,SSO_LoadSwitch,LoadSwitch30pct,10,30,,raw_waveforms/E2_LoadSwitch30pct_Bus10.csv,True,34105379,10001,181
E2_LoadSwitch30pct_Bus12,SSO_LoadSwitch,LoadSwitch30pct,12,30,,raw_waveforms/E2_LoadSwitch30pct_Bus12.csv,True,34099559,10001,181
E2_LoadSwitch30pct_Bus14,SSO_LoadSwitch,LoadSwitch30pct,14,30,,raw_waveforms/E2_LoadSwitch30pct_Bus14.csv,True,34104833,10001,181
E2_LoadSwitch30pct_Bus15,SSO_LoadSwitch,LoadSwitch30pct,15,30,,raw_waveforms/E2_LoadSwitch30pct_Bus15.csv,True,34105566,10001,181
E2_LoadSwitch30pct_Bus16,SSO_LoadSwitch,LoadSwitch30pct,16,30,,raw_waveforms/E2_LoadSwitch30pct_Bus16.csv,True,34105172,10001,181
E2_LoadSwitch30pct_Bus17,SSO_LoadSwitch,LoadSwitch30pct,17,30,,raw_waveforms/E2_LoadSwitch30pct_Bus17.csv,True,34101293,10001,181
E2_LoadSwitch30pct_Bus18,SSO_LoadSwitch,LoadSwitch30pct,18,30,,raw_waveforms/E2_LoadSwitch30pct_Bus18.csv,True,34104126,10001,181
E2_LoadSwitch30pct_Bus19,SSO_LoadSwitch,LoadSwitch30pct,19,30,,raw_waveforms/E2_LoadSwitch30pct_Bus19.csv,True,34105709,10001,181
E2_LoadSwitch30pct_Bus20,SSO_LoadSwitch,LoadSwitch30pct,20,30,,raw_waveforms/E2_LoadSwitch30pct_Bus20.csv,True,34103726,10001,181
E2_LoadSwitch30pct_Bus21,SSO_LoadSwitch,LoadSwitch30pct,21,30,,raw_waveforms/E2_LoadSwitch30pct_Bus21.csv,True,34101886,10001,181
E2_LoadSwitch30pct_Bus23,SSO_LoadSwitch,LoadSwitch30pct,23,30,,raw_waveforms/E2_LoadSwitch30pct_Bus23.csv,True,34104533,10001,181
E2_LoadSwitch30pct_Bus24,SSO_LoadSwitch,LoadSwitch30pct,24,30,,raw_waveforms/E2_LoadSwitch30pct_Bus24.csv,True,34098253,10001,181
E2_LoadSwitch30pct_Bus26,SSO_LoadSwitch,LoadSwitch30pct,26,30,,raw_waveforms/E2_LoadSwitch30pct_Bus26.csv,True,34100193,10001,181
E2_LoadSwitch30pct_Bus29,SSO_LoadSwitch,LoadSwitch30pct,29,30,,raw_waveforms/E2_LoadSwitch30pct_Bus29.csv,True,34102162,10001,181
E2_LoadSwitch30pct_Bus30,SSO_LoadSwitch,LoadSwitch30pct,30,30,,raw_waveforms/E2_LoadSwitch30pct_Bus30.csv,True,34097722,10001,181
