NetworkID,Model,Variant,WMUCount,CoarseCategory,Cases,ExactBusAccuracy,OneHopAccuracy,GraphDistanceMAE
ieee30,ExtraTrees,B_current_only,3,Three_Phase,45,0.4,0.4,2.0
ieee30,RandomForest,B_current_only,3,Ground,90,0.2111111111111111,0.2111111111111111,3.1
ieee30,RandomForest,B_current_only,3,Phase_to_Phase,45,0.2,0.2,3.4
ieee30,RandomForest,B_current_only,3,Three_Phase,45,0.2,0.2,3.2666666666666666
ieee30,ExtraTrees,C_existing_VC,3,Ground,90,1.0,1.0,0.0
ieee30,ExtraTrees,C_existing_VC,3,Phase_to_Phase,45,0.2,0.2,3.0
ieee30,ExtraTrees,C_existing_VC,3,Three_Phase,45,1.0,1.0,0.0
ieee30,RandomForest,C_existing_VC,3,Ground,90,0.5444444444444444,0.5444444444444444,1.5222222222222221
ieee30,RandomForest,C_existing_VC,3,Phase_to_Phase,45,0.37777777777777777,0.37777777777777777,2.1333333333333333
ieee30,RandomForest,C_existing_VC,3,Three_Phase,45,0.6,0.6,1.4
ieee30,ExtraTrees,D_existing_norm,3,Ground,90,1.0,1.0,0.0
ieee30,ExtraTrees,D_existing_norm,3,Phase_to_Phase,45,0.8,0.8,0.6
ieee30,ExtraTrees,D_existing_norm,3,Three_Phase,45,1.0,1.0,0.0
ieee30,RandomForest,D_existing_norm,3,Ground,90,1.0,1.0,0.0
ieee30,RandomForest,D_existing_norm,3,Phase_to_Phase,45,0.8,0.8,0.6
ieee30,RandomForest,D_existing_norm,3,Three_Phase,45,1.0,1.0,0.0
ieee30,ExtraTrees,E_existing_norm_rank,3,Ground,90,1.0,1.0,0.0
ieee30,ExtraTrees,E_existing_norm_rank,3,Phase_to_Phase,45,0.8,0.8,0.6
ieee30,ExtraTrees,E_existing_norm_rank,3,Three_Phase,45,1.0,1.0,0.0
ieee30,RandomForest,E_existing_norm_rank,3,Ground,90,1.0,1.0,0.0
