NetworkID,Model,Variant,WMUCount,TrueFaultBus,Cases,ExactBusAccuracy
ieee30,ExtraTrees,D_existing_norm,5,30,36,1.0
ieee30,ExtraTrees,D_existing_norm,30,1,36,1.0
ieee30,ExtraTrees,D_existing_norm,30,6,36,1.0
ieee30,ExtraTrees,D_existing_norm,30,10,36,1.0
ieee30,ExtraTrees,D_existing_norm,30,24,36,1.0
ieee30,ExtraTrees,D_existing_norm,30,30,36,1.0
ieee30,ExtraTrees,E_existing_norm_rank,3,1,36,1.0
ieee30,ExtraTrees,E_existing_norm_rank,3,6,36,1.0
ieee30,ExtraTrees,E_existing_norm_rank,3,10,36,1.0
ieee30,ExtraTrees,E_existing_norm_rank,3,24,36,0.75
ieee30,ExtraTrees,E_existing_norm_rank,3,30,36,1.0
ieee30,ExtraTrees,E_existing_norm_rank,5,1,36,1.0
ieee30,ExtraTrees,E_existing_norm_rank,5,6,36,1.0
ieee30,ExtraTrees,E_existing_norm_rank,5,10,36,1.0
ieee30,ExtraTrees,E_existing_norm_rank,5,24,36,1.0
ieee30,ExtraTrees,E_existing_norm_rank,5,30,36,1.0
ieee30,ExtraTrees,E_existing_norm_rank,30,1,36,1.0
ieee30,ExtraTrees,E_existing_norm_rank,30,6,36,1.0
ieee30,ExtraTrees,E_existing_norm_rank,30,10,36,1.0
ieee30,ExtraTrees,E_existing_norm_rank,30,24,36,1.0
ieee30,ExtraTrees,E_existing_norm_rank,30,30,36,1.0
ieee30,ExtraTrees,F_existing_norm_rank_vi,3,1,36,1.0
ieee30,ExtraTrees,F_existing_norm_rank_vi,3,6,36,1.0
ieee30,ExtraTrees,F_existing_norm_rank_vi,3,10,36,1.0
ieee30,ExtraTrees,F_existing_norm_rank_vi,3,24,36,0.75
ieee30,ExtraTrees,F_existing_norm_rank_vi,3,30,36,1.0
ieee30,ExtraTrees,F_existing_norm_rank_vi,5,1,36,1.0
ieee30,ExtraTrees,F_existing_norm_rank_vi,5,6,36,1.0
ieee30,ExtraTrees,F_existing_norm_rank_vi,5,10,36,1.0
ieee30,ExtraTrees,F_existing_norm_rank_vi,5,24,36,1.0
ieee30,ExtraTrees,F_existing_norm_rank_vi,5,30,36,1.0
