NetworkID,Model,Variant,WMUCount,SelectedWMUBuses,TestResistanceOhm,TrainCases,TestCases,FaultTestCases,FeatureColumnsPerWMU,Accuracy,Precision,Recall,F1,FalsePositiveRate,FalseNegativeRate,TN,FP,FN,TP,ExactBusAccuracy,OneHopAccuracy,GraphDistanceMAE,CoarseCategoryMacroF1,FaultType4ClassMacroF1
ieee30,ExtraTrees,E_existing_norm_rank,5,1;10;6;24;30,10.0,442,221,180,50,0.9049773755656109,1.0,0.8833333333333333,0.9380530973451328,0.0,0.11666666666666667,41,0,21,159,1.0,1.0,0.0,0.21541767391888259,0.20335447263017356
ieee30,RandomForest,E_existing_norm_rank,5,1;10;6;24;30,10.0,442,221,180,50,0.7963800904977375,1.0,0.75,0.8571428571428571,0.0,0.25,41,0,45,135,1.0,1.0,0.0,0.13333333333333333,0.1
ieee30,ExtraTrees,F_existing_norm_rank_vi,5,1;10;6;24;30,10.0,442,221,180,52,0.9230769230769231,1.0,0.9055555555555556,0.9504373177842566,0.0,0.09444444444444444,41,0,17,163,1.0,1.0,0.0,0.26579078062215,0.3153846153846154
ieee30,RandomForest,F_existing_norm_rank_vi,5,1;10;6;24;30,10.0,442,221,180,52,0.7692307692307693,1.0,0.7166666666666667,0.8349514563106796,0.0,0.2833333333333333,41,0,51,129,1.0,1.0,0.0,0.13333333333333333,0.1
ieee30,ExtraTrees,Baseline,30,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30,10.0,442,221,180,40,1.0,1.0,1.0,1.0,0.0,0.0,41,0,0,180,0.65,0.65,1.5,0.1490219016052512,0.2750764411962115
ieee30,RandomForest,Baseline,30,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30,10.0,442,221,180,40,0.5927601809954751,1.0,0.5,0.6666666666666666,0.0,0.5,41,0,90,90,0.3111111111111111,0.42777777777777776,2.4444444444444446,0.13333333333333333,0.275
ieee30,ExtraTrees,A_voltage_only,30,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30,10.0,442,221,180,18,1.0,1.0,1.0,1.0,0.0,0.0,41,0,0,180,0.65,0.65,1.5,0.17680180180180183,0.21089696071163824
ieee30,RandomForest,A_voltage_only,30,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30,10.0,442,221,180,18,1.0,1.0,1.0,1.0,0.0,0.0,41,0,0,180,0.6555555555555556,0.6555555555555556,1.4722222222222223,0.13333333333333333,0.1
ieee30,ExtraTrees,B_current_only,30,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30,10.0,442,221,180,18,1.0,1.0,1.0,1.0,0.0,0.0,41,0,0,180,0.2,0.2,3.0,0.3737373737373737,0.4633699633699634
ieee30,RandomForest,B_current_only,30,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30,10.0,442,221,180,18,0.25339366515837103,1.0,0.08333333333333333,0.15384615384615385,0.0,0.9166666666666666,41,0,165,15,0.2,0.2,3.0,0.25,0.11029411764705882
ieee30,ExtraTrees,C_existing_VC,30,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30,10.0,442,221,180,36,1.0,1.0,1.0,1.0,0.0,0.0,41,0,0,180,0.6111111111111112,0.6111111111111112,1.6944444444444444,0.20303030303030303,0.3527726385034433
ieee30,RandomForest,C_existing_VC,30,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30,10.0,442,221,180,36,0.6334841628959276,1.0,0.55,0.7096774193548387,0.0,0.45,41,0,81,99,0.2,0.2,3.0,0.13333333333333333,0.1
ieee30,ExtraTrees,D_existing_norm,30,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30,10.0,442,221,180,46,1.0,1.0,1.0,1.0,0.0,0.0,41,0,0,180,1.0,1.0,0.0,0.43951697139109075,0.3518099547511312
ieee30,RandomForest,D_existing_norm,30,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30,10.0,442,221,180,46,0.25339366515837103,1.0,0.08333333333333333,0.15384615384615385,0.0,0.9166666666666666,41,0,165,15,1.0,1.0,0.0,0.5,0.4881048197430724
ieee30,ExtraTrees,E_existing_norm_rank,30,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30,10.0,442,221,180,50,1.0,1.0,1.0,1.0,0.0,0.0,41,0,0,180,1.0,1.0,0.0,0.1857246445348214,0.2801157958998799
ieee30,RandomForest,E_existing_norm_rank,30,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30,10.0,442,221,180,50,0.34841628959276016,1.0,0.2,0.3333333333333333,0.0,0.8,41,0,144,36,1.0,1.0,0.0,0.13333333333333333,0.30426136363636364
ieee30,ExtraTrees,F_existing_norm_rank_vi,30,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30,10.0,442,221,180,52,1.0,1.0,1.0,1.0,0.0,0.0,41,0,0,180,1.0,1.0,0.0,0.37512881722954905,0.35147399456953066
ieee30,RandomForest,F_existing_norm_rank_vi,30,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30,10.0,442,221,180,52,0.5520361990950227,1.0,0.45,0.6206896551724138,0.0,0.55,41,0,99,81,1.0,1.0,0.0,0.13333333333333333,0.2829714580246118
